Image Name,label,real,spoof
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_105.png,0,0.9999951124,0.0000048938
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_120.png,0,0.9998508692,0.0001490879
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_135.png,0,0.9999966621,0.0000033525
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_15.png,0,0.9899213314,0.0100786528
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_150.png,0,0.9999996424,0.0000003261
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_30.png,0,0.9999959469,0.0000040573
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_45.png,0,0.9997979999,0.0002019747
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_60.png,0,0.9999893904,0.0000106225
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_75.png,0,0.9999947548,0.0000052077
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\AGL752VM_id147_s0_90.png,0,0.9999957085,0.0000043302
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_105.png,0,0.9999994040,0.0000005736
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_120.png,0,0.9999995232,0.0000004178
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_135.png,0,0.9999983311,0.0000016321
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_15.png,0,0.9999955893,0.0000044653
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_150.png,0,0.9999991655,0.0000008184
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_30.png,0,0.9999933243,0.0000066447
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_45.png,0,0.9999986887,0.0000013193
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_60.png,0,0.9999525547,0.0000474067
C:\Users\Mantra\Documents\facial\liveness_models\LCC_FASD_development\real\FT720P_id0_s0_75.png,0,0.9999986887,0.0000012595
